codePostaleAdresse;adresseAdresse;communeAdresse
75005;12 rue de l'Abbé-de-l'Epée;Paris
75005;1 rue Descartes;Paris
75005;26 rue d'Ulm;Paris
75004;3 allée des Justes de France;Paris
75013;18 boulevard Arago;Paris
75020;8 chemin du Parc de Charonne;Paris
75015;40 rue du Docteur Finaly;Paris
75011;37 rue Saint-Bernard;Paris
75014;2 rue Emile Richard;Paris
75003;1 rue Eugène Spuller;Paris
75006;82 rue Bonaparte;Paris
75018;2 rue du Mont-Cenis;Paris
75006;17 rue Monsieur-le-Prince;Paris
75004;12 rue Pavée;Paris
75001;7 rue de l'Arbre Sec;Paris
75005;1 rue de la Sorbonne;Paris
75004;15 rue Saint-Antoine;Paris
75015;70 rue Balard;Paris
75005;18 rue des Ecoles;Paris
75001;186 rue Saint-Honoré;Paris
75007;2 allée Adrienne Lecouvreur;Paris
75012;1 place du Docteur Antoine Béclère;Paris
75006;15 rue de Vaugirard;Paris
75005;7 rue Saint-Severin;Paris
75003;73 rue Charlot;Paris
75001;2 boulevard du Palais;Paris
75004;9 rue Charlemagne;Paris
75001;179 rue Saint-Honoré;Paris
75001;82 rue Saint-Denis;Paris
75005;11b rue de Navarre;Paris
75005;42 boulevard Saint-Marcel;Paris
75012;94 boulevard Diderot;Paris
75005;123 rue Saint-Jacques;Paris
75013;1 boulevard Arago;Paris
75006;85 rue de Rennes;Paris
75005;92 boulevard Saint-Marcel;Paris
75004;99 rue Saint-Antoine;Paris
75009;1 rue de la Chaussée d'Antin;Paris
75003;12 rue de Béarn;Paris
75005;1 place Emile Mâle;Paris
75005;23 rue Clovis;Paris
75003;2 passage Saint-Avoye;Paris
75006;2w rue de Médicis;Paris
75005;45 rue de la Montagne Sainte-Geneviève;Paris
75005;80 boulevard Saint-Marcel;Paris
75005;2 rue de la Collégiale;Paris
75001;10 boulevard du Palais;Paris
75001;8 boulevard du Palais;Paris
75005;28 bis rue du Cardinal Lemoine;Paris
75005;14 rue de la Montagne Sainte-Geneviève;Paris
75006;119 boulevard Saint-Germain;
75005;1 place Sainte-Geneviève;Paris
75003;292 rue Saint-Martin;Paris
75004;22 rue du Cloître Notre-Dame;Paris
75010;45 rue du Château d'Eau;Paris
75006;48 rue de Rennes;Paris
75006;168b boulevard Saint-Germain;Paris
75003;3 rue Béranger;Paris
75005;23 rue Clovis;Paris
75005;10 rue Rollin;Paris
75004;1 quai de la Corse;Paris
75004;16 quai de Gesvres;Paris
75004;22 rue du Cloitre Notre-Dame;Paris
75005;15 rue des Carmes;Paris
75004;1 place de la Bastille;Paris
75004;12 boulevard Henri IV;Paris
75001;2 impasse Sainte-Eustache;Paris
75005;1 place du Panthéon;Paris
75005;6 place Marcelin Berthelot;Paris
75012;1 place du Docteur Antoine Béclère;Paris
75005;25 quai de Montebello;Paris
75001;91bA rue de Rivoli;Paris
75005;6 place Paul Painlevé;Paris
75005;39 rue Gay-Lussac;Paris
75004;22 rue du Cloitre Notre-Dame;Paris
75004;1 rue de la Cité;Paris
75005;6 place Paul Painlevé;Paris
75006;10 boulevard Saint-Michel;Paris
75005;8 rue Louis Thuillier;Paris
75005;19 rue des Boulangers;Paris
75013;75 avenue de Choisy;Paris
75011;45 rue du Faubourg Saint-Antoine;Paris
75005;23 rue Poliveau;Paris
75006;21 rue de Vaugirard;Paris
75005;1 rue Valette;Paris
75006;30 boulevard Saint-Michel;Paris
75005;19 rue Cujas;Paris
75001;32 rue des Bourdonnais;Paris
75005;17 rue du Fer à Moulin;Paris
75020;4 place Saint-Blaise;Paris
75006;44 boulevard Saint-Michel;Paris
75012;1 place du Docteur Antoine Béclère;Paris
75004;17 rue du Renard;Paris
75005;284 rue Saint-Jacques;Paris
75005;41 rue Henri-Barbusse;Paris
75004;12 quai de Gesvres;Paris
75005;7 rue de l'Abbé de l'Epée;Paris
75014;53 avenue de l'Observatoire;Paris
75005;6 place Paul Painlevé;Paris
75020;5 rue Serpolet;Paris
75004;14 rue Charlemagne;Paris
75005;17 rue d'Ulm;Paris
75020;12 boulevard Davout;Paris
75002;62 rue du Louvre;Paris
75005;198 rue Saint-Jacques;Paris
75003;251 rue Saint-Martin;Paris
75005;49 rue du Cardinal Lemoine;Paris
75005;2 rue Dante;Paris
75006;36 rue de Vaugirard;Paris
75001;1 allée Louis Aragon;Paris
75004;24 rue des Archives;Paris
75014;125 boulevard de Port-Royal;Paris
75013;81 boulevard Saint-Marcel;Paris
75005;21 rue Valette;Paris
75005;36 rue Geoffroy-Saint-Hilaire;Paris
75006;173 boulevard Saint-Germain;Paris
75013;11 avenue des Gobelins;Paris
75006;64 boulevard Saint-Michel;Paris
75006;51 rue des Saints-Pères;Paris
75013;16 rue des Gobelins;Paris
75006;2w rue de Médicis;Paris
75005;12 rue Victor Cousin;Paris
75004;3 rue de la Cité;Paris
75020;134 boulevard Davout;Paris
75001;296 rue Saint-Honoré;Paris
75013;8 boulevard Arago;
75003;90 boulevard Sébastopol;Paris
75005;16 avenue des Gobelins;
75005;45 rue d Ulm;Paris
75018;54 boulevard Ney;Paris
75005;32 rue Saint-Jacques;
75012;14 avenue Saint-Mandé;Paris
75005;56 rue Saint-Jacques;
75005;1 rue Saint-Julien-le-Pauvre;
75019;1 rue des Ardennes;Paris
75005;15 rue de la Parcheminerie;Paris
75006;2w rue de Médicis;Paris
75005;1 rue Thénard;Paris
75005;247 rue Saint-Jacques;
75005;15 rue de l'Estrapade;Paris
75004;12 rue des Lombards;Paris
75005;81 boulevard Saint-Michel;Paris
75005;13 rue Jean de Beauvais;Paris
75005;73 boulevard Saint-Michel;Paris
75004;2 place du Père Teilhard de Chardin;Paris
75006;9 rue Suger;Paris
75006;1 rue Michelet;Paris
75005;1 rue du Sommerard;Paris
75005;1 rue Lacépède;Paris
75005;9 rue Bertholet;Paris
75005;79 rue Galande;Paris
75005;35 rue de la Bûcherie;Paris
75006;22 rue Monsieur le Prince;Paris
75010;63 rue de Lancry;Paris
75003;1 rue Beaubourg;Paris
75004;8 rue Saint-Bon;Paris
75004;13 square Sainte-Croix de la Bretonnerie;Paris
75001;1 place du Louvre;Paris
75005;39 rue Descartes;Paris
75001;151 rue de Rivoli;Paris
75005;2 rue Descarte;Paris
75001;36 quai des Orfèvres;Paris
75013;8 rue Gustave Geffroy;Paris
75004;15 rue Neuve Saint-Pierre;Paris
75013;77 avenue d'Italie;Paris
75013;1v boulevard Arago;Paris
75001;2 place du Louvre;Paris
75006;144 boulevard Saint-Germain;Paris
75005;16 rue Soufflot;Paris
75005;68 boulevard Saint-Marcel;Paris
75004;3 allée des Justes de France;Paris
75001;8 rue Baillet;Paris
75005;10 rue Vauquelin;Paris
75004;8 rue Pavée;Paris
75005;38 rue Descartes;Paris
75005;123 rue Saint-Jacques;Paris
75010;1 rue Sibour;Paris
75003;2 rue de Braque;Paris
75004;3 bis quai aux Fleurs;Paris
75003;75 rue Beaubourg;Paris
75004;1 place de la Bastille;Paris
75004;1 quai des Célestins;Paris
75005;11 place Marcelin Berthelot;Paris
75004;1 rue Neuve Saint-Pierre;Paris
75006;10 rue Cassette;Paris
75005;1 place Jussieu;Paris
75001;164 rue de Rivoli;Paris
75014;168 boulevard du Montparnasse;Paris
75018;17 rue de la Chapelle;Paris
75005;9 place du Panthéon;Paris
75008;21 rue Cambacérès;Paris
75015;1 square Boucicaut;Paris
75018;2 rue Pierre Dac;Paris
75002;252 rue Saint-Denis;Paris
75007;233 boulevard Saint-Germain;Paris
75005;1 place Jussieu;Paris
75005;28 boulevard Saint-Marcel;Paris
75004;19 rue Chanoinesse;Paris
75011;145 bis boulevard Voltaire;Paris
75003;49 rue de Réaumur;Paris
75001;2 rue des Orfèvres;Paris
75011;26 rue Bréguet;Paris
75005;1 rue de la Parcheminerie;Paris
75001;1 square des Innocents;Paris
75005;1 rue du Sommerard;Paris
75006;31 rue de Tournon;Paris
75018;2 rue du Mont Cenis;Paris
75006;12 rue Hautefeuille;Paris
75006;27 rue Mazarine;Paris
75005;67 rue Claude Bernard;Paris
75005;49 rue Monge;Paris
75005;322 rue Saint-Jacques;Paris
75005;1 place de l'Estrapade;Paris
75003;71 rue du Temple;Paris
75001;2 impasse Sainte-Eustache;Paris
75004;9 rue Geoffroy l'Asnier;Paris
75014;32 avenue René Coty;Paris
75002;95 boulevard Sébastopol;Paris
75013;145 avenue de Choisy;Paris
75005;19 rue Descartes;Paris
75001;91q rue de Rivoli;Paris
75005;162 rue Saint-Jacques;Paris
75002;14 rue Sainte-Apolline;Paris
75005;20 rue des Fossés-Saint-Jacques;Paris
75006;22 rue de Vaugirard;Paris
75007;11 avenue Emile Acollas;Paris
75004;22 rue du Cloitre Notre-Dame;Paris
75006;8v place Edmond Rostand;Paris
75001;20 rue Berger;Paris
75004;11 rue d'Arcole;Paris
75014;125 boulevard de Port-Royal;Paris
75005;10 avenue des Gobelins;Paris
75005;11 rue des Carmes;Paris
75005;88 boulevard de Port-Royal;Paris
75005;5 rue Vésale;Paris
75003;1 rue Saint-Martin;Paris
75014;7 rue d'Alésia;Paris
75003;1 boulevard du Temple;Paris
75003;44 rue Réaumur;Paris
75006;54 boulevard Saint-Michel;Paris
75004;22 rue du Cloitre Notre-Dame;Paris
75001;55 boulevard de Sébastopol;Paris
75005;181 rue Saint-Jacques;Paris
75014;95B boulevard Arago;Paris
75001;8 boulevard du Palais;Paris
75006;1 place André-Honnorat;Paris
75001;1A rue de l'Amiral de Coligny;Paris
75013;6 rue Le Brun;Paris
75006;26 rue de Vaugirard;Paris
75005;3 rue du Petit Moine;Paris
75013;37 boulevard de Port-Royal;Paris
75001;62 rue des Lombards;Paris
75014;74 avenue Denfert-Rochereau;Paris
75004;28 quai Henri IV;Paris
75005;28 boulevard Saint-Germain;Paris
75004;1 rue Neuve Saint-Pierre;Paris
75006;2w rue de Médicis;Paris
75004;8 rue Charles V;Paris
75003;292 rue Saint-Martin;Paris
75006;58 boulevard Saint-Michel;Paris
75005;1 rue de Lanneau;Paris
75013;57 rue de Patay;Paris
75005;7 rue Geoffroy Saint-Hilaire;Paris
75004;47 rue Vieille du Temple;Paris
75011;36 rue saint-Bernard;Paris
75005;13 rue des Boulangers;Paris
75005;158 rue Saint-Jacques;Paris
75015;29 boulevard du général Martial Valin;Paris
75013;54 rue Pascal;Paris
75001;1 rue Coquillière;Paris
75004;1 place de l'Hôtel de Ville;Paris
75013;66 rue Baudricourt;Paris
75004;22 rue du Cloitre Notre-Dame;Paris
75006;107 rue Notre-Dame des Champs;Paris
75006;58 bis boulevard Saint-Michel;Paris
75004;1 rue Caron;Paris
75005;24 rue Laplace;Paris
75005;47 rue des Ecoles;Paris
75013;35 avenue des Gobelins;Paris
75001;3 quai de l'Horloge;Paris
75005;64 rue Gay-Lussac;Paris
75013;3 rue Michel Peter;Paris
75006;33 rue de Vaugirard;Paris
75012;28 rue François Truffaut;Paris
75002;18 galerie des Variétés;Paris
75003;1 rue Vaucanson;Paris
75005;1 rue Xavier-Privas;Paris
75014;49 avenue de l'Observatoire;Paris
75005;25 rue de la Collégiale;Paris
75004;2 rue de Lutèce;Paris
75006;2 rue Palatine;Paris
75005;79 rue Galande;Paris
75004;3 rue de Lobau;Paris
75005;7 rue Laromiguière;Paris
75005;7 rue du Fer à Moulin;Paris
75006;19 rue de Vaugirard;Paris
75005;24 rue Lhomond;Paris
75013;48 rue du Château des Rentiers;Paris
75004;1 quai de Gesvres;
75001;10 place du Carrousel;Paris
75013;10 rue des Gobelins;Paris
75004;22 rue du Cloitre Notre-Dame;Paris
75019;206 Boulevard MacDonald;Paris
75005;28 rue Saint-Jacques;Paris
75005;19 rue Pierre Nicole;Paris
75003;1 boulevard du Temple;Paris
75008;23v place de la Concorde;Paris
75006;60 rue de Vaugirard;Paris
75014;125 boulevard de Port-Royal;Paris
75003;254 rue Saint-Martin;Paris
75013;7 rue Saint-Hippolyte;Paris
75005;1ter rue Lacepède;Paris
75008;1 place de la Concorde;Paris
75005;47 boulevard Saint-Germain;Paris
75005;5 place Jussieu;Paris
75012;1 place du Docteur Antoine Béclère;Paris
75019;32 rue Edouard Pailleron;Paris
75004;22 rue du Cloitre Notre-Dame;Paris
75004;1 place Baudoyer;Paris
75008;3 place de la Madeleine;Paris
75005;3 rue Fustel-de-Coulanges;Paris
75001;1 place du Châtelet;Paris
75006;51 rue des Saints-Pères;Paris
75005;5 rue Clovis;Paris
75005;1 place Monge;Paris
75001;2 rue de l'Amiral de Coligny;Paris
75004;15 rue du Temple;Paris
75014;1 rue du Faubourg Saint-Jacques;Paris
75005;22 rue Gay-Lussac;Paris
75013;7 boulevard de Port-Royal;Paris
75005;1 rue des Patriarches;Paris
75005;11 place Marcelin Berthelot;Paris
75004;11 rue Pavée;Paris
75005;6 rue des Prêtres Saint-Séverin;Paris
75006;48 rue de Rennes;Paris
75005;7 rue de Blainville;Paris
75003;60 rue Notre-Dame-de-Nazareth;Paris
75004;4 rue du Cloître Notre-Dame;Paris
75019;211 avenue Jean Jaurès;Paris
75005;184 rue Saint-Jacques;Paris
75005;158 rue Saint-Jacques;Paris
75006;10 rue du Four;Paris
75006;4 rue Pierre Sarrazin;Paris
75005;47B rue de la Montagne Sainte-Geneviève;Paris
75014;22 rue d Arcueil;Paris
75005;6 rue Thouin;Paris
75013;38 avenue des Gobelins;Paris
75003;14 rue de Bearn;Paris
75013;86 boulevard Vincent Auriol;Paris
75006;6 rue Guynemer;Paris
75005;123 rue Saint-Jacques;Paris
75005;1 boulevard Saint-Michel;Paris
75005;64 rue des Ecoles;Paris
75006;17 rue Auguste Comte;Paris
75004;39 rue de Rivoli;Paris
75018;18 rue Pajol;Paris
75011;35 boulevard Richard Lenoir;Paris
75005;74 boulevard de Port-Royal;Paris
75005;2 boulevard Saint-Germain;Paris
75001;6 rue des Bourdonnais;Paris
75005;1 rue du Sommerard;Paris
75005;3 rue Amyot;Paris
75005;6 place Paul Painlevé;Paris
75008;12 rue de Rome;Paris
75005;2 rue Clovis;Paris
75007;19 boulevard de la Tour-Maubourg;Paris
75004;4 rue des Archives;Paris
75006;6 rue de l'École de Médecine;Paris
75004;2 rue de Lutèce;Paris
75005;1 rue Scipion;Paris
75016;134 avenue de Versailles;Paris
75006;15 rue de Vaugirard;Paris
75005;27 rue Geoffroy Saint-Hilaire;Paris
75005;43 rue Censier;Paris
75003;25 rue de Sévigné;Paris
