1900;Découverte ancienne;853
1935;Découverte ancienne;854
1930;Découverte ancienne;855
1916;Découverte ancienne;856
1921;Découverte ancienne;857
1928;Découverte ancienne;858
1949;Découverte ancienne;859
1941;Découverte ancienne;860
9999; 1956 ;861
1957;;862
9999;Suivi de travaux;863
1972;Découverte ancienne;864
1978;Suivi de travaux;865
9999;Sondage;866
1968;Sondage;867
1965;Sondage;868
1981;Sauvetage urgent;869
1982;Sauvetage urgent;870
1911;Fouille;871
1913;Découverte ancienne;872
1988;Sauvetage urgent;873
1991;Sauvetage urgent;874
2002;Diagnostic;875
1979;;876
1987;Sauvetage urgent;877
1994;Diagnostic;878
1908;Découverte ancienne;879
1897;Découverte ancienne;880
2005;Suivi de travaux;881
2011;Diagnostic;882
9999;Fouille;883
1990;Fouille;884
1912;Découverte ancienne;885
1994;Sondage;886
1658;Découverte ancienne;887
1610;Découverte ancienne;888
1855;Découverte ancienne;889
1994;Diagnostic;890
9999;Découverte ancienne;891
2011;Suivi de travaux;892
2012;Étude documentaire;893
1881;Découverte ancienne;894
2006;Étude documentaire;895
1902;Découverte ancienne;896
1863;Découverte ancienne;897
9999;Découverte ancienne;898
1913;Découverte ancienne;899
1908;Découverte ancienne;900
9999;Découverte ancienne;901
1838;Découverte ancienne;902
1862;Découverte ancienne;903
2000;Diagnostic;904
9999;Découverte ancienne;905
1998;Diagnostic;906
1879;Découverte ancienne;907
2004;Diagnostic;908
1877;Découverte ancienne;909
1877;Découverte ancienne;910
2003;Diagnostic;911
1914;Découverte ancienne;912
1880;Découverte ancienne;913
1868;Découverte ancienne;914
1878;Découverte ancienne;915
1875;Découverte ancienne;916
9999;Découverte ancienne;917
1882;Autres études;918
1844;Découverte ancienne;919
1899;Découverte ancienne;920
1865;Découverte ancienne;921
1879;Découverte ancienne;922
1899;Découverte ancienne;923
1844;Découverte ancienne;924
1748;Découverte ancienne;925
1844;Découverte ancienne;926
1864;Découverte ancienne;927
9999;Découverte ancienne;928
9999;Découverte ancienne;929
1880;Découverte ancienne;930
9999;Découverte ancienne;931
2015;Diagnostic;932
9999;Découverte ancienne;933
1901;Découverte ancienne;934
2000;Suivi de travaux;935
1911;Découverte ancienne;936
9999;Découverte ancienne;937
1911;Découverte ancienne;938
1916;Découverte ancienne;939
1923;Découverte ancienne;940
1920;Découverte ancienne;941
1931;Découverte ancienne;942
1930;Découverte ancienne;943
1940;Découverte ancienne;944
1942;;945
9999;Fouille;946
1943;Découverte ancienne;947
1955;Suivi de travaux;948
1897;Découverte ancienne;949
1956;Sauvetage urgent;950
1979;;951
1969;Découverte fortuite;952
1968;Sondage;953
9999;Dossier administratif;954
1964;Découverte ancienne;955
1982;Suivi de travaux;956
1994;Diagnostic;957
1911;Découverte ancienne;958
1989;SP;959
2010;Diagnostic;960
2001;Diagnostic;961
1992;;962
2000;Suivi de travaux;963
2000;Évaluation archéologique;964
2012;Étude documentaire;965
9999;Découverte ancienne;966
1911;;967
9999;Découverte ancienne;968
2002;Sondage;969
1899;Découverte ancienne;970
9999;Découverte ancienne;971
1913;Découverte ancienne;972
9999;Sauvetage urgent;973
9999;Sondage;974
1899;Découverte ancienne;975
1934;Découverte ancienne;976
2014;Suivi de travaux;977
1989;Sondage;978
1992;Diagnostic;979
1990;Sondage;980
1868;Découverte ancienne;981
1880;Découverte ancienne;982
2018;Sondage;983
1874;Découverte ancienne;984
1844;Découverte ancienne;985
2019;Diagnostic;986
1859;Découverte ancienne;987
1887;Découverte ancienne;988
9999;Découverte ancienne;989
1863;Découverte ancienne;990
1990;Sauvetage urgent;991
1898;Découverte ancienne;992
1945;Découverte ancienne;993
1913;Découverte ancienne;994
1907;Découverte ancienne;995
1914;Découverte ancienne;996
1933;Découverte ancienne;997
1921;Découverte ancienne;998
1943;;999
1974;Sauvetage urgent;1000
1975;Sauvetage urgent;1001
9999;Découverte ancienne;1002
1972;Suivi de travaux;1003
1967;Découverte fortuite;1004
1979;;1005
1982;Sauvetage urgent;1006
1993;Sauvetage urgent;1007
1983;Sauvetage urgent;1008
2010;Diagnostic;1009
2002;Diagnostic;1010
1996;Diagnostic;1011
1999;;1012
2000;;1013
1920;Étude documentaire;1014
2006;Diagnostic;1015
1861;Découverte ancienne;1016
1995;Diagnostic;1017
1905;Découverte ancienne;1018
9999;Découverte ancienne;1019
9999;Découverte ancienne;1020
1861;Découverte ancienne;1021
1899;Découverte ancienne;1022
1905;Découverte ancienne;1023
2004;Diagnostic;1024
1906;Découverte ancienne;1025
1913;Découverte ancienne;1026
1844;Découverte ancienne;1027
2008;Diagnostic;1028
9999;Découverte ancienne;1029
1933;Découverte ancienne;1030
1860;Découverte ancienne;1031
1969;Découverte fortuite;1032
1941;Découverte ancienne;1033
2014;Diagnostic;1034
9999;Découverte ancienne;1035
1901;Suivi de travaux;1036
2012;Diagnostic;1037
1900;Découverte ancienne;1038
2001;Diagnostic;1039
1899;Découverte ancienne;1040
2004;Diagnostic;1041
1899;Découverte ancienne;1042
9999;Découverte ancienne;1043
1841;Découverte ancienne;1044
1904;Découverte ancienne;1045
1902;Découverte ancienne;1046
1898;Découverte ancienne;1047
9999;Diagnostic;1048
2014;Diagnostic;1049
1927;Découverte ancienne;1050
9999;Découverte ancienne;1051
1933;;1052
1863;Découverte ancienne;1053
1996;Sondage;1054
1700;Découverte ancienne;1055
1836;Découverte ancienne;1056
1898;Découverte ancienne;1057
1847;Découverte ancienne;1058
1844;Découverte ancienne;1059
1921;Découverte ancienne;1060
1899;Découverte ancienne;1061
9999;Découverte ancienne;1062
1899;Découverte ancienne;1063
2019;Diagnostic;1064
1901;;1065
9999;Découverte ancienne;1066
1868;Découverte ancienne;1067
1846;Découverte ancienne;1068
1620;Découverte ancienne;1069
2008;Sondage;1070
1863;Découverte ancienne;1071
2000;Diagnostic;1072
1865;Découverte ancienne;1073
1876;Découverte ancienne;1074
1869;Découverte ancienne;1075
9999;" 1866""";1076
9999;Découverte ancienne;1077
1880;Découverte ancienne;1078
