652.425.661;6859782.52;"{""coordinates"": [2.351861056978402, 48.83633791329156], ""type"": ""Point""}";"48.8363379133,2.35186105698"
651.717.096;6861080.39;"{""coordinates"": [2.342060890427538, 48.84795698150859], ""type"": ""Point""}";"48.8479569815,2.34206089043"
652.978.617;6860094.59;"{""coordinates"": [2.359359543200067, 48.839184942259386], ""type"": ""Point""}";"48.8391849423,2.3593595432"
652.115.973;6860953.95;"{""coordinates"": [2.3475102757784923, 48.84684973847975], ""type"": ""Point""}";"48.8468497385,2.34751027578"
652.633.541;6859954.11;"{""coordinates"": [2.354673922452257, 48.837896363315885], ""type"": ""Point""}";"48.8378963633,2.35467392245"
653.008.967;6863089.4;"{""coordinates"": [2.3594420354676933, 48.866119353978114], ""type"": ""Point""}";"48.866119354,2.35944203547"
651.468.402;6860120.61;"{""coordinates"": [2.338781673488586, 48.839306988804566], ""type"": ""Point""}";"48.8393069888,2.33878167349"
653.520.284;6862752.84;"{""coordinates"": [2.366448558725188, 48.863129791195924], ""type"": ""Point""}";"48.8631297912,2.36644855873"
651.460.033;6861033.01;"{""coordinates"": [2.338563528236437, 48.84751159880515], ""type"": ""Point""}";"48.8475115988,2.33856352824"
652.775.848;6862431.08;"{""coordinates"": [2.356337564517712, 48.86018214529593], ""type"": ""Point""}";"48.8601821453,2.35633756452"
652.820.523;6861660.44;"{""coordinates"": [2.357031982275556, 48.85325514066571], ""type"": ""Point""}";"48.8532551407,2.35703198228"
652.838.238;6858414.65;"{""coordinates"": [2.3576332343682243, 48.82406683046327], ""type"": ""Point""}";"48.8240668305,2.35763323437"
652.181.524;6862375.85;"{""coordinates"": [2.348243542041029, 48.85964162645676], ""type"": ""Point""}";"48.8596416265,2.34824354204"
652.413.428;6861610.96;"{""coordinates"": [2.3514898257851993, 48.852780194735494], ""type"": ""Point""}";"48.8527801947,2.35148982579"
651657.83;6861045.07;"{""coordinates"": [2.341257340080526, 48.84763489715621], ""type"": ""Point""}";"48.8476348972,2.34125734008"
652.739.434;6863060.36;"{""coordinates"": [2.355771290516541, 48.8658384644368], ""type"": ""Point""}";"48.8658384644,2.35577129052"
652.478.014;6861369.73;"{""coordinates"": [2.352396925957826, 48.85061561137138], ""type"": ""Point""}";"48.8506156114,2.35239692596"
651.008.209;6861136.16;"{""coordinates"": [2.332395095906443, 48.84840499111985], ""type"": ""Point""}";"48.8484049911,2.33239509591"
652.975.089;6860115.47;"{""coordinates"": [2.359309169087369, 48.83937254071273], ""type"": ""Point""}";"48.8393725407,2.35930916909"
651.917.928;6860618.02;"{""coordinates"": [2.344849726656138, 48.84381393936545], ""type"": ""Point""}";"48.8438139394,2.34484972666"
646.993.875;6859767.45;"{""coordinates"": [2.277865777358515, 48.835778597070906], ""type"": ""Point""}";"48.8357785971,2.27786577736"
651.993.312;6861554.57;"{""coordinates"": [2.345771109059815, 48.85224195258987], ""type"": ""Point""}";"48.8522419526,2.34577110906"
654.277.351;6864583.23;"{""coordinates"": [2.376570506454609, 48.87964435550799], ""type"": ""Point""}";"48.8796443555,2.37657050645"
652101.85;6861331.67;"{""coordinates"": [2.347275293469947, 48.850245449311245], ""type"": ""Point""}";"48.8502454493,2.34727529347"
653.882.945;6858495.19;"{""coordinates"": [2.371853332032063, 48.82486674564002], ""type"": ""Point""}";"48.8248667456,2.37185333203"
651.910.007;6862341.49;"{""coordinates"": [2.34454687562538, 48.85931240162111], ""type"": ""Point""}";"48.8593124016,2.34454687563"
651.460.033;6861033.01;"{""coordinates"": [2.338563528236437, 48.84751159880515], ""type"": ""Point""}";"48.8475115988,2.33856352824"
653.948.585;6861552.79;"{""coordinates"": [2.372416361993074, 48.85236864078527], ""type"": ""Point""}";"48.8523686408,2.37241636199"
652.601.821;6861939.93;"{""coordinates"": [2.354020457037328, 48.855752458035795], ""type"": ""Point""}";"48.855752458,2.35402045704"
656.948.678;6861267.77;"{""coordinates"": [2.413328602179803, 48.850012879242314], ""type"": ""Point""}";"48.8500128792,2.41332860218"
651.423.515;6860138.88;"{""coordinates"": [2.338168052717665, 48.83946795455801], ""type"": ""Point""}";"48.8394679546,2.33816805272"
651.874.808;6861637.09;"{""coordinates"": [2.344146885929541, 48.85297519952662], ""type"": ""Point""}";"48.8529751995,2.34414688593"
652.061.674;6861857.84;"{""coordinates"": [2.346668501021153, 48.85497425523117], ""type"": ""Point""}";"48.8549742552,2.34666850102"
652.674.911;6862190.54;"{""coordinates"": [2.354988640376962, 48.85801161550425], ""type"": ""Point""}";"48.8580116155,2.35498864038"
651.505.538;6861698.56;"{""coordinates"": [2.339107674440335, 48.853500287631356], ""type"": ""Point""}";"48.8535002876,2.33910767444"
652.936.705;6862172.33;"{""coordinates"": [2.358558588419055, 48.85786696124763], ""type"": ""Point""}";"48.8578669612,2.35855858842"
651.221.268;6861699.32;"{""coordinates"": [2.335233680999675, 48.85348564460286], ""type"": ""Point""}";"48.8534856446,2.335233681"
649.761.273;6860918.15;"{""coordinates"": [2.315429853013614, 48.8463484491342], ""type"": ""Point""}";"48.8463484491,2.31542985301"
652.633.804;6862119.48;"{""coordinates"": [2.354436321423273, 48.857369487045254], ""type"": ""Point""}";"48.857369487,2.35443632142"
650.551.403;6861680.8;"{""coordinates"": [2.326107220296152, 48.85326808553646], ""type"": ""Point""}";"48.8532680855,2.3261072203"
651.737.998;6861354.95;"{""coordinates"": [2.342314541399157, 48.85042771666306], ""type"": ""Point""}";"48.8504277167,2.3423145414"
650.092.212;6862884.17;"{""coordinates"": [2.319708319891221, 48.86405438828252], ""type"": ""Point""}";"48.8640543883,2.31970831989"
647.232.557;6861942.27;"{""coordinates"": [2.2808474678387762, 48.855356114205804], ""type"": ""Point""}";"48.8553561142,2.28084746784"
649.381.683;6862534.15;"{""coordinates"": [2.310065295236302, 48.86085124346058], ""type"": ""Point""}";"48.8608512435,2.31006529524"
650.947.133;6865215.0;"{""coordinates"": [2.331092025960852, 48.88508058954672], ""type"": ""Point""}";"48.8850805895,2.33109202596"
652.321.715;6859991.85;"{""coordinates"": [2.350421529975255, 48.838212812130116], ""type"": ""Point""}";"48.8382128121,2.35042152998"
